source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:quercus-durata-gabrielensis:leather-oak:74817","Quercus durata var. gabrielensis","leather oak","quercus durata","leather oak"
"openfarm:melanthera-biflora:sea-daisy:56712","Melanthera biflora","Sea daisy","melanthera biflora","sea daisy"
"openfarm:sparganium-fluctuans:water-burreed:84306","Sparganium fluctuans","Water burreed","sparganium fluctuans","water burreed"
"openfarm:sambucus-racemosa:red-berried-elder-european-red-elder-sabugueiro-vermelho-europa:79483","Sambucus racemosa","red-berried elder, European red elder, sabugueiro vermelho da Europa","sambucus racemosa","red berried elder european red elder sabugueiro vermelho europa"
"openfarm:moraea-debilis:unknown:58899","Moraea debilis","","moraea debilis",""
"openfarm:chloris:unknown:19573","Chloris sp.","","chloris",""
"openfarm:isolepis-verrucosula:unknown:48336","Isolepis verrucosula","","isolepis verrucosula",""
"openfarm:rhynchosia-adenodes:unknown:76542","Rhynchosia adenodes","","rhynchosia adenodes",""
"openfarm:astragalus:milk-vetch:9667","Astragalus","milk vetch","astragalus","milk vetch"
"openfarm:asarum-caudatum-caudatum:british-columbia-wildginger:8602","Asarum caudatum var. caudatum","British Columbia wildginger","asarum caudatum","british columbia wildginger"
"openfarm:kotschya-thymodora-thymodora:unknown:49830","Kotschya thymodora ssp. thymodora","","kotschya thymodora",""
"openfarm:sechium-edule:machuchu-machiche-xuxu-chuchu-chocho-mirliton-christophine-gayota-cidrayota-cucuzza-spinusa:81338","Sechium edule","machuchu (Brazil), machiche, xuxu, chuchu, chocho, mirliton, christophine, gayota, cidrayota, cucuzza spinusa","sechium edule","machuchu machiche xuxu chuchu chocho mirliton christophine gayota cidrayota cucuzza spinusa"
"openfarm:pteris-friesii:unknown:74001","Pteris friesii","","pteris friesii",""
"openfarm:limonium-linifolium-linifolium:unknown:52762","Limonium linifolium var. linifolium","","limonium linifolium",""
"openfarm:pinnularia-braunii:unknown:69381","Pinnularia braunii","","pinnularia braunii",""
"openfarm:barbula-imshaugii:unknown:11398","Barbula imshaugii","","barbula imshaugii",""
"openfarm:vanclevea-stylosa:pillar-false-gumweed:92890","Vanclevea stylosa","pillar false gumweed","vanclevea stylosa","pillar false gumweed"
"openfarm:ranunculus-hispidus-hispidus:bristly-buttercup:75347","Ranunculus hispidus var. hispidus","bristly buttercup","ranunculus hispidus","bristly buttercup"
"openfarm:cephalophyllum-serrulatum:unknown:17955","Cephalophyllum serrulatum","","cephalophyllum serrulatum",""
"openfarm:phylica-purpurea-floccosa:unknown:68619","Phylica purpurea var. floccosa","","phylica purpurea",""
"openfarm:lotus-scoparius-brevialatus:western-bird-foot-trefoil:54310","Lotus scoparius var. brevialatus","western bird's-foot trefoil","lotus scoparius","western bird foot trefoil"
"openfarm:envy:unknown:32917","Envy (apple)","","envy",""
